order_id,seller_state,customer_state,payment_type,order_purchase_timestamp,weight_g,category,label
3147cb8f96cb619b380fd37e3da08c93,SP,MG,credit_card,2018-01-06 20:02:44+00:00,1000,stationery,on_time
b5ab65ab0519833c110de7fb37bd1c00,SP,SP,credit_card,2017-12-09 10:12:40+00:00,283,tablets_printing_image,on_time
8e799e5d820ceeffb9b581001cc1521c,SP,SP,credit_card,2017-05-29 13:04:08+00:00,1383,bed_bath_table,on_time
7b70ed12304671aecd4d8fef24017f5b,SP,RS,credit_card,2018-06-05 10:21:06+00:00,200,computers_accessories,on_time
5c938587fa6333223164d94333986fa5,SP,RJ,credit_card,2018-02-06 11:22:03+00:00,11325,industry_commerce_and_business,on_time
c5eb69f42fab03c99f0c0465a6e14723,PR,SP,debit_card,2018-08-03 08:36:51+00:00,2150,garden_tools,on_time
6ce285ecc898105204fa22cd55838f01,SP,SP,credit_card,2018-07-23 16:49:33+00:00,550,bed_bath_table,on_time
9406240a4e41945ba492020a2702f757,PR,SP,credit_card,2018-02-27 10:55:44+00:00,200,computers_accessories,on_time
50f39d306a35f31046305de54b1527ec,SP,SP,boleto,2018-04-09 11:11:28+00:00,150,musical_instruments,on_time
a8e3fb06a9b74bd1950e46982e31785b,SP,SP,boleto,2017-07-19 20:19:34+00:00,750,bed_bath_table,on_time
e681b9d741ce6a1913e86b6351105a55,SP,RS,credit_card,2018-07-21 19:47:08+00:00,14100,pet_shop,on_time
3e01278f6cf7cd9f094f320a1d2a8e5f,SP,SP,credit_card,2017-03-09 23:52:59+00:00,500,furniture_decor,on_time
2d7bf1651f60d1ac9e1be74a075ce01f,SP,PR,credit_card,2018-06-22 17:01:05+00:00,400,sports_leisure,on_time
d841db95e26d664b1ea54020b52e8ae5,SP,RJ,credit_card,2018-01-31 17:29:42+00:00,1400,luggage_accessories,on_time
100d88397a04a3242753eba46891e7d4,MG,MG,credit_card,2018-04-05 19:26:41+00:00,4100,cool_stuff,on_time
46bc29944be88ef9dc8d7223421577d0,SC,RS,credit_card,2018-06-26 23:08:32+00:00,800,pet_shop,on_time
7f47078a05106160c009fc89a215b154,SP,RJ,credit_card,2017-04-05 15:10:54+00:00,6450,toys,on_time
43c77c1881febf0c89c17b98fa782d6d,SP,SP,credit_card,2017-10-04 14:12:12+00:00,1650,garden_tools,on_time
427ab04bb9a88ee00929a510651d77c2,SP,SP,boleto,2018-04-12 08:10:13+00:00,849,computers_accessories,on_time
680caaeaa537d89cb256b5538bd02773,SP,RJ,credit_card,2018-08-16 14:03:25+00:00,250,watches_gifts,on_time
3c6c4d8395cd1b0c68ffa02fa1446367,MA,AL,debit_card,2018-07-17 09:01:49+00:00,350,health_beauty,late
ef2774bdeb80c7328fc571f5352bf615,SP,RS,boleto,2018-02-01 14:21:40+00:00,125,food,on_time
a1f0d7a839bac074bdbd34af57df3522,RJ,PE,credit_card,2018-08-11 10:59:34+00:00,250,watches_gifts,on_time
0bc97d91a9a3a1923234614958556071,PR,RO,credit_card,2017-09-30 16:14:28+00:00,30000,furniture_decor,on_time
fd83748fe6056c1759777f41c19a742a,SP,SP,credit_card,2018-08-02 18:20:01+00:00,1183,computers_accessories,on_time
f5cd3f99caf11d1cd93c5b92e3e49d08,SP,PI,credit_card,2017-06-05 19:43:36+00:00,400,electronics,on_time
a74e83bef10070f30831ad61d579a408,DF,SP,boleto,2018-07-18 17:11:37+00:00,100,computers_accessories,on_time
73de1db8eb6e493c5a6ed60c856a2076,MG,MG,credit_card,2017-05-16 20:50:58+00:00,1000,fashion_bags_accessories,late
78037c5f4d9f1f7bab0207f22c4e92f1,RJ,RJ,credit_card,2018-01-02 17:56:52+00:00,800,perfumery,on_time
